Account Name,Designation type,Latitude,Longtitude ,Website,Description
Isle of Wight Biosphere Reserve,Biosphere Reserve,50.67105,-1.33271,https://www.unesco.org.uk/portfolio/isle-of-wight/,"Situated just off the coast of Portsmouth within the English Channel, The Isle of Wight is the largest Island in England, and like most islands, it benefits from a unique climate – a little milder than on the mainland. In 2019, the Isle of Wight became a UNESCO Biosphere,  enshrining the decades of work in the preservation of its unique and diverse ecosystems, and celebrating the local endeavours to live  harmoniously within them."
Biosffer Dyfi Biosphere Reserve,Biosphere Reserve,52.4881,-4.05081,http://www.dyfibiosphere.wales/,"The area around the river Dyfi is a special place for its people, its culture and the local environment. It hosts some of the finest and most inspiring landscapes and wildlife areas in Europe, as well as a passionate community that care strongly about their magnificent surroundings."
Isle of Man Biosphere Reserve,Biosphere Reserve,54.23582,-4.5146,https://www.biosphere.im/,"On this self-governing island in the Irish Sea, traditional industries such as fishing and farming and a rich cultural heritage and vintage transport network co-exist with tourism, leisure activities and a thriving business and manufacturing sector. The Island boasts spectacular beaches and cliffs and beautiful glens and forests and is an important haven for nature and marine and bird life."
The Living Coast - Brighton and Lewes Downs Biosphere Reserve,Biosphere Reserve,50.82204,-0.13741,https://thelivingcoast.org.uk/,"Situated on the chalk hills and coast of the South Downs within and around the city of Brighton and Hove and neighbouring towns of Lewes, Newhaven and Shoreham, this Biosphere brings together rural, marine and urban environments to take care of this special place for both nature and people. A diverse range of projects to add value are being progressed, from urban greening and water environment improvements through to public engagement, cultural collaboration, public health and tourism initiatives."
North Devon Biosphere Reserve,Biosphere Reserve,51.01076,-4.19948,https://www.northdevonbiosphere.org.uk/,"Reaching to the heights of Dartmoor and Exmoor and extending to the marine environment twelve miles beyond Lundy - this Biosphere has established effective partnerships which pioneer a range of projects for sustainable future in north Devon. These include significant landscape-scale land-use change and biodiversity enhancement, nature improvement areas, biodiversity offsetting, ecosystem-based local development plans, carbon reduction strategies and innovations in marine conservation and fisheries management."
Galloway and Southern Ayrshire Biosphere Reserve,Biosphere Reserve,54.95905,-4.48367,https://www.gsabiosphere.org.uk/,"Covering 5,268 square kilometres the Galloway and Southern Ayrshire Biosphere was granted its status in recognition of the special natural qualities that characterise the area. It is home to 95,000 people who work together to improve life whilst caring for the natural environment."
Wester Ross Biosphere Reserve,Biosphere Reserve,57.89782,-5.15866,https://www.wrb.scot/,"The Wester Ross Biosphere extends from the northern tip of Knoydart northwards to Achiltbuie and the Summer Isles and east to Garve, including population centres in Kyle of Lochalsh, Lochcarron, Gairloch and Ullapool. This mountainous region is one of the United Kingdom's most scenic and least-populated areas, with about 8,000 people living in its 5,229 square kilometres."
Black Country Geopark,Global Geoparks,52.51108,-2.08168,https://blackcountrygeopark.dudley.gov.uk/,Aspiring Geopark. In September 2016 UGGp decided to defer this candidature for a maximum of two years to allow the recommendations to be implemented. Confirmed 5 May 2017. To be resubmitted 2019.
North West Highlands Global Geopark,Global Geoparks,58.24961,-5.00748,https://www.nwhgeopark.com/,"Located in the far north of the Scottish Highlands, the Global Geopark is home to the oldest rocks in the United Kingdom. Their Lewisian gneiss is over 3 billion years old! The eastern boundary of the Global Geopark extends beyond the settlement of Durness and Loch Eriboll to follow the Moine Thrust Zone, an internationally significant geological structure that helped 19th century geologists determine how the world's great mountain ranges were formed."
Fforest Fawr Global Geopark,Global Geoparks,51.81914,-3.01408,https://www.fforestfawrgeopark.org.uk/,"Fforest Fawr (Welsh for the Great Forest ) is a swathe of upland country which forms the western half of the Brecon Beacons National Park. It is a cracked and crumpled layer-cake of rocks, 480 million years in the making, a landscape sculpted by ice then transformed by man and a witness to the birth of the Industrial Revolution"
North Pennines Global Geopark,Global Geoparks,54.75123,-2.2221,https://www.northpennines.org.uk/unesco-global-geopark/,"The North Pennines landscape has been 500 million years in the making and reveals a story of tropical seas, vast deltas and deserts, huge ice sheets and continents on the move, alongside a world class mineral and mining heritage. In recognition of its special qualities, the North Pennines has been designated as an Area of Outstanding Natural Beauty (AONB), as well as a European and Global Geopark - highlighting its globally important Earth heritage."
Marble Arch Caves Global Geopark,Global Geoparks,54.34485,-7.63894,https://www.marblearchcavesgeopark.com/,"Ranging from rugged uplands, lakes and forests through to gently rolling drumlins, the landscapes of the Global Geopark represent a complex Earth history dating back as far as 895 million years. With evidence of mountain building and destruction; searing hot deserts and warm tropical oceans; and of icy wastelands and water-worn caverns, the rocks and landscapes of the Global Geopark are nothing short of amazing."
Geopark Shetland,Global Geoparks,59.9234,-1.33129,https://www.shetlandamenity.org/geopark-shetland,"From the highest sheer cliffs in Britain to the best hands on exposure of the Great Glen Fault, Shetland is packed with an incredibly varied geology spanning almost 3 billion years. Where else can you walk on an ancient ocean floor, explore an extinct volcano and stroll across shifting sands in the space of a day?"
GeoMon Global Geopark,Global Geoparks,53.27823,-4.33134,http://www.geomon.co.uk/,"The tectonic island of Anglesey includes more than a hundred different rock types and the oldest fossils in England or Wales within 1,800 million years of Earth’s history. GeoMon is the United Kingdom’s most geologically diverse Global Geopark. Such is the variety of shapes and types of rock, that visitors and locals alike cannot but marvel at the magnificent colours and structures visible around the coast of the Welsh Global Geopark."
English Riviera Geopark,Global Geoparks,50.46524,-3.52114,http://www.englishrivierageopark.org.uk/,"Home to the Kents Cavern jawbone, the oldest modern human fossil in North West Europe and situated within the stunning, rolling hills of South Devon, Torbay’s geology has created a beautiful coastline, linking the rich diversity of the landscape with its wildlife, people and culture."
Gough and Inaccessible Islands World Heritage Site,World Heritage Sites,-39.25996057,-10.91284135,https://whc.unesco.org/en/list/740/,"The site, located in the south Atlantic, is one of the least-disrupted island and marine ecosystems in the cool temperate zone. The spectacular cliffs of Gough and Inaccessible Islands, towering above the ocean, are free of introduced mammals and home to one of the world’s largest colonies of sea birds."
Blaenavon Industrial Landscape World Heritage Site,World Heritage Sites,51.77402,-3.08537,https://www.visitblaenavon.co.uk/en/Homepage.aspx,"Located at the gateway to the South Wales Valleys, partly within the Brecon Beacons National Park, the Blaenavon Industrial Landscape is a testament to the human endeavour of miners and ironworkers of the past."
Old and New Towns of Edinburgh World Heritage Site,World Heritage Sites,55.9521,-3.1965,https://ewh.org.uk/,"Edinburgh has been the Scottish capital since the 15th century. It has two distinct areas: the Old Town, dominated by a medieval fortress; and the neoclassical New Town, whose development from the 18th century onwards had a far-reaching influence on European urban planning."
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church World Heritage Site",World Heritage Sites,51.2800,1.083333,https://www.canterbury.co.uk/info/3/things_to_do/36/world_heritage_site,"The Cathedral has been the seat of the spiritual head of the Church of England for nearly five centuries. CanterburyÂ’s other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saintÂ’s evangelizing role in the Heptarchy from 597 CE; and Christ Church Cathedral, a breath-taking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170 CE."
