What is the name of the affected project or program?,"In which country, region, or territory is the affected project or program located?",In what specific ways does the stop work order impact this project?,What specific data or examples illustrate these impacts?,What organization(s) was/were involved in implementing this project?,What was the approximate funding amount for this project or program?,"What risks, if any, does the halting of your program pose to US national security?","What impacts, if any, does the halting of your program pose to the US economy?"
Digital Health: Planning National Systems,Nigeria,Health data and delivery systems will be weakened,"300 ministry of health officials from 50 countries will not be trained, thereby indirectly impacting hundreds of millions of lives. ","USAID, WHO, PATH/Digital Square, TechChange","$650,000 in 2025",,
Basic Education Initiative,Kenya,"Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners).","100,000 children affected",USAID,$ 5Million,Literacy increased,decreased business with USA
Digital Health Solutions ,Sierra Leone,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",,USAID,,,
Opharn and Vulnerable Children program (supporting HIV patients),Uganda,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).",,,,,
Climate Finance for Development Accelerator,Côte d'Ivoire [Ivory Coast],"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).","24,000 farmers deprived from insurance. 12,000 farmers in need not supported after climate shocks",USAID,"216,340",Will increase terrorist influence in the Sahel and west African areas.,"Will lead to a increase in the cost of raw materials such as cocoa, coffee and cotton"
Naming programs is strictly prohibited right now - could put peoples work at risk. I would remove this question.,Global,"Impacts above could be happening, but on essential medicines—they are available but distribution was prohibited for people who came; data systems were down; information and supplies disrupted",,"Pepfar, Abt",$40M/year (one bilateral - there are many others but IDK impacts),,
Inclusive Climate Action,Nepal,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",3000 HHs impacted to receive land tenure rights and impacted their livelihoods stopping disaster risk reduction and sustainable land based solutions,National Land Rights Forum Nepal,175000 USD,Loss of US credibility at communities and governments. Will weaken marginalized community resiliency from adverse impact of climate induced disasters. ,N/A
Project Last Mile,Sierra Leone,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.","5 million medicines, medical equipments, vaccines will not be delivered leading to high potential deaths from presentable diseases ",USAID,Unknown ,Will bring down community resilience ,Will lead to high decrease in US economy in procured good and services 
Off-grid Renewable Energy in Subsaharan Africa,Nigeria,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs., Delayed infrastructure projects (e.g., roads, energy access, or housing).","100000000 will households and businesses  will suffer from energy crisis leading to over-dependence on fossil fuels leading to tons of emitted pollutants and GHG , hyper inflation , hunger , unavailability of clean  water , increase in mortality rates and social vices due to over-hardship .",USAID,"$250,000 per awarded company . ",Mass migration to US to excess hardship in affected countries  leading to over population and a ride in social vicesv. ,Reduction in the demand for American goods due to poverty  and anti-american  sentiment m
Digital Connectivity Cybersecurity Partnership,Fiji,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed infrastructure projects (e.g., roads, energy access, or housing).",,USAID,24 million,Will delay infrastructure projects and delay with digital policies and digital skills training etc,"Will lead to delayed infrastructure projects,  lack of digital skills training etc. "
YouthMappers,Global,Digital Deveomnet and Economic Growth,,USAID,,"America will lose its seat at the open geographic data table, diminishing its influence and allowing adversaries to shape the future of geographic data. This data underpins the modern digital economy, drives AI innovation, and plays a critical role in saving lives during humanitarian crises. By failing to lead, we risk ceding control over these vital resources to others who may not share our values or interests.",A pause in programming will impact America's tech sector as it will raise the cost of entry into developing markets.
PHVP,South Africa,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",18000 OVCs not receiving care,"USAID, HIVSA",$1 million annually,None,None
"Access to justice , women economic empowerment , religious freedom ",Pakistan,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",600PeopleWill be without critical legal aid and service delivery . ,"UN women , United States institute of peace , legal aid society ",3 million annually between three projects ,Will weaken security and stability in regions which will impact US,
"Honduras MESCLA 2.0, Somalia ELMI, Tanzania MELA (these are MEL platforms so many evaluations/surveys/assessments under each one), several other standalone evaluation contracts ",Global,We do M&E work so impacts are no available data,N/A - M&E ,USAID,Guessing at least $20 million or more ,,
"GHTASC contract terminated, which will have knock-on impacts to every global health area that USAID addresses, because it resulted in the termination of 60% of the GH Bureau's workforce ",Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs., I have selected the work areas that my colleagues support. There are not enough direct hire staff to oversee USAID's grants and contracts so institutional support contractors (ISCs) play a vital role in standing up these initiatives and ensuring that they can continue to run, providing everything from technical assistance to administrative support. ","Hard to quantify... I think 200,000 lives are immediately at risk from cessation of our PEPFAR programs, but I need to validate that stat. I'm not sure how many health care workers won't get paid. Happy to do some research with you all. ",USAID,Unknown ,"This will weaken the US's leadership in the world, creating a vacuum that China and Russia will fill in Africa, Latin America and Asia. ",I don't know how to quantify this but all the international development actors are experiencing job losses now... Probably not big enough to show in unemployment data. 
Several,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,USAID,,,
Survivors of torture ,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs., Mental health access is inaccessible ",70% of the org funding is lost ,USAID,2 million ,The rise of suicide rate and social cohesion and community empowerment will decrease in the regions we work in.,I don’t know
Voices Test,Colombia,"Loss of jobs or income for project staff (e.g., project managers, consultants).",Testing,Testing,Testing,Testing,Testing
Digital Health: Planning National Systems Program,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Critical capacity gaps in governments around the world working on digital health; particularly at a time when the digitization of our health systems provide urgent, real-time data, which is critical, especially when monitoring the spread of disease across borders that could impact the US. ",,"USAID, WHO, PATH ",700k,,
Women in the Digital Economy Fund,India,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Caribbean Sustainable Ecosystems Activity ,Dominican Republic,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs.",unknown,"USAID, PADF",unknown,,
FEWS NET,Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Delayed infrastructure projects (e.g., roads, energy access, or housing).",,USAID,,,
