City,Country,Country ISO3,Latitude,Longitude,Population,Input Data Source,Waste Generation Rate (tons/year),Waste Generation Rate per Capita (kg/person/day),Waste Components: Food (%),Waste Components: Green (%),Waste Components: Wood (%),Waste Components: Paper and Cardboard (%),Waste Components: Textiles (%),Waste Components: Plastic (%),Waste Components: Metal (%),Waste Components: Glass (%),Waste Components: Rubber/Leather (%),Waste Components: Other (%),Diversons: Compost (%),Diversons: Anaerobic Digestion (%),Diversons: Incineration (%),Diversons: Recycling (%),Emissions Source,Year,Emissions: Food (tons CH4/year),Emissions: Green (tons CH4/year),Emissions: Wood (tons CH4/year),Emissions: Paper and Cardboard (tons CH4/year),Emissions: Textiles (tons CH4/year),Emissions: Total (tons CH4/year),Emissions per Capita (kg CH4/person/year),Percentile: Emissions per Capita (%),Population Growth Rate: Historic (%),Population Growth Rate: Future (%),Average Annual Precipitation (mm/year),Percent of Waste to Landfills with Gas Capture (%),Percent of Waste to Landfills without Gas Capture (%),Percent of Waste to Dumpsites (%),Diversion Components: Composted Food (% of Total Composted),Diversion Components: Composted Green (% of Total Composted),Diversion Components: Composted Wood (% of Total Composted),Diversion Components: Composted Paper and Cardboard (% of Total Composted),Diversion Components: Anaerobically Digested Food (% of Total Digested),Diversion Components: Anaerobically Digested Green (% of Total Digested),Diversion Components: Anaerobically Digested Wood (% of Total Digested),Diversion Components: Anaerobically Digested Paper and Cardboard (% of Total Digested),Diversion Components: Incinerated Food (% of Total Incinerated),Diversion Components: Incinerated Green (% of Total Incinerated),Diversion Components: Incinerated Wood (% of Total Incinerated),Diversion Components: Incinerated Paper and Cardboard (% of Total Incinerated),Diversion Components: Incinerated Textiles (% of Total Incinerated),Diversion Components: Incinerated Plastic (% of Total Incinerated),Diversion Components: Incinerated Rubber/Leather (% of Total Incinerated),Diversion Components: Recycled Wood (% of Total Recycled),Diversion Components: Recycled Paper and Cardboard (% of Total Recycled),Diversion Components: Recycled Textiles (% of Total Recycled),Diversion Components: Recycled Plastic (% of Total Recycled),Diversion Components: Recycled Rubber/Leather (% of Total Recycled),Diversion Components: Recycled Metal (% of Total Recycled),Diversion Components: Recycled Glass (% of Total Recycled),Diversion Components: Recycled Other (% of Total Recycled),Informal Waste Collection Rate (%),Fraction of Waste to Methane Capture Landfills (%),Methane Capture Efficiency (%)
Kandahar,Afghanistan,AFG,31.6205738,65.7157573,429000.0,World Bank,120971.0,0.7725580355717342,11.599420028998548,4.489775511224439,0.0,1.4989250537473129,0.0,9.642517874106291,0.1689915504224788,2.310884455777211,5.928703564821759,64.36078196090195,5.0,0.0,0.0,0.0,SWEET Model,2022,194.8378011000319,82.85212616950082,0.0,35.633766745453656,0.0,313.3236940149864,0.7303582611071943,8.333333333333332,2.6069164758736774,3.2144745585570123,199,0.0,0.0,100.0,65.95030985274887,25.52731821024504,0.0,8.522371937006085,0.0,0.0,0.0,0.0,34.980850999668284,13.540001809354363,0.0,4.5203703145261,0.0,29.07934018877597,17.87943668767528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Mazar-E-Sharif,Afghanistan,AFG,36.7099311,67.1092145,635250.0,World Bank,52368.4,0.2258560700403789,50.60120240480962,2.875751503006012,0.1803607214428857,1.693386773547094,0.0,10.661322645290582,0.3206412825651302,1.3226452905811623,3.4168336673346693,28.927855711422843,5.0,0.0,0.0,0.0,SWEET Model,2022,433.54857847098407,25.34983619431656,1.1772163467155603,17.592888274529418,0.0,477.6685192865456,0.7519378501165613,9.0,4.195243154318762,4.021067689760094,178,0.0,0.0,100.0,91.41926140477914,5.195510499637943,0.3258508327299059,3.0593772628530047,0.0,0.0,0.0,0.0,72.88208976764324,4.142011834319526,0.2597777457064511,2.439024390243902,0.0,15.355751190648,4.921345071438879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Kabul,Afghanistan,AFG,34.5260109,69.1776838,3700000.0,World Bank,1889787.5,1.4729729729729728,13.636363636363638,4.040404040404041,1.0101010101010102,5.050505050505051,0.0,11.111111111111112,0.5050505050505051,1.0101010101010102,0.0,63.63636363636363,5.0,0.0,0.0,0.0,SWEET Model,2022,3624.7447949834864,1096.93004230369,199.79647081475852,1609.3482675165055,0.0,6530.819575618441,1.765086371788768,19.0,4.688825429882404,3.189121577407405,347,0.0,0.0,100.0,57.44680851063831,17.02127659574468,4.25531914893617,21.27659574468085,0.0,0.0,0.0,0.0,39.130434782608695,11.594202898550725,2.898550724637681,14.492753623188406,0.0,31.884057971014496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0
Luanda,Angola,AGO,-8.8272699,13.2439512,4508000.0,World Bank,1316336.0,0.8,21.0,3.0,1.0,11.0,0.0,12.0,3.0,6.0,0.0,43.0,0.0,0.0,0.0,0.0,SWEET Model,2022,5475.072586730639,847.9926431139045,237.6750094058634,3943.4393310407945,0.0,10504.179570291204,2.3301196917238696,29.33333333333333,6.028061833673948,3.76219262871218,512,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,6.25,2.083333333333333,22.916666666666668,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Korca,Albania,ALB,40.6158501,20.7771401,51152.0,World Bank,21000.0,1.124770225511074,37.0,0.0,0.0,11.0,0.0,11.0,2.0,2.0,0.0,37.0,1.0,0.0,4.0,0.0,SWEET Model,2022,333.33400631483744,0.0,0.0,192.99155526707176,0.0,526.3255615819091,10.28944247696882,87.33333333333333,2.553554276737846,1.0984914488242126,1160,0.0,100.0,0.0,77.08333333333334,0.0,0.0,22.916666666666668,0.0,0.0,0.0,0.0,62.71186440677966,0.0,0.0,18.64406779661017,0.0,18.64406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Vlora,Albania,ALB,40.45106355,19.49198823775286,79513.0,World Bank,37955.0,1.307789938373134,40.42,0.0,0.0,18.94,0.0,11.1,0.99,4.47,0.0,24.08,0.0,0.0,0.0,10.0,SWEET Model,2022,309.3137343374844,0.0,0.0,245.0644914219249,0.0,554.3782257594094,6.972170912421986,74.33333333333333,2.553554276737846,1.0984914488242126,1160,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3658813511212,0.0,0.0,26.880499574226512,0.0,15.753619074652288,0.0,0.0,31.78919100369252,0.0,18.63041289023162,0.0,1.6616314199395767,7.502517623363544,40.41624706277274,0.0,0.0,60.0
Abu Dhabi,United Arab Emirates,ARE,24.4538352,54.3774014,1145000.0,World Bank,1033543.0,2.473034635401089,38.99999999999999,0.0,0.0,24.999999999999996,0.0,18.999999999999996,2.999999999999999,4.0,0.0,9.999999999999998,9.0,0.0,0.0,20.0,SWEET Model,2022,6204.095302863144,0.0,0.0,2837.1502027929487,0.0,9041.245505656092,7.896284284415802,78.66666666666666,8.817912301512475,1.484345957218225,63,0.0,12.676056338028168,87.32394366197184,60.93749999999999,0.0,0.0,39.0625,0.0,0.0,0.0,0.0,46.98795180722891,0.0,0.0,30.12048192771084,0.0,22.89156626506024,0.0,0.0,40.98360655737705,0.0,31.147540983606557,0.0,4.918032786885246,6.557377049180328,16.39344262295082,0.0,0.0,60.0
Dubai,United Arab Emirates,ARE,25.07428235,55.18853865430702,2415000.0,World Bank,2689808.0,3.0514852945347286,35.44481136795757,0.0,0.9806864805363752,24.307014910437307,0.0,24.246972881016717,2.3716601621134794,3.4223956769738813,1.671169818873211,7.555288702091463,0.0,0.0,0.0,25.0,SWEET Model,2022,12056.2170207242,0.0,144.837687689633,6009.525318951747,0.0,18210.58002736558,7.540612847770427,76.66666666666667,7.35695412916666,1.3626741724972025,106,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90541632983024,0.0,1.131770412287793,28.0517380759903,0.0,27.982446009931863,1.9286291719598103,1.519144318710277,37.65307704231902,0.0,37.56006820647962,2.588745930863432,3.673849015656487,5.30150364284607,11.703611843125096,0.0,100.0,60.0
Rosario,Argentina,ARG,-32.9595004,-60.6615415,1193605.0,World Bank,438730.0,1.007033315041408,57.65925925925925,0.0,0.0,13.382716049382717,0.0,11.5358024691358,1.3827160493827155,4.869135802469135,0.0,11.17037037037037,15.2,0.0,0.0,0.0,SWEET Model,2022,3314.6494775511587,0.0,0.0,1551.3822236891403,0.0,4866.031701240298,4.076752109148586,56.00000000000001,1.4625590261312604,1.009082916248838,967,100.0,0.0,0.0,81.16224106770471,0.0,0.0,18.83775893229529,0.0,0.0,0.0,0.0,69.82418371008252,0.0,0.0,16.20619543116852,0.0,13.969620858748954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0
Vanadzor,Armenia,ARM,40.8111917,44.4851995,86199.0,World Bank,23556.855151,0.7499998013516668,28.000000000000004,0.0,0.0,10.0,0.0,15.75,3.75,6.0,2.0,34.5,5.0,0.0,0.0,0.0,SWEET Model,2022,107.81765129587356,0.0,0.0,60.03253896192137,0.0,167.85019025779494,1.9472405742270205,23.0,1.6671169304914413,0.264037846512144,366,0.0,0.0,100.0,73.6842105263158,0.0,0.0,26.31578947368421,0.0,0.0,0.0,0.0,50.22421524663677,0.0,0.0,17.937219730941706,0.0,28.251121076233183,3.587443946188341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,60.0
