Site Name,Site Type,Latitude,Longitude,Country,Country ISO3,Site Area (m2),Waste in Place (tons),Emissions: Modeled (tons CH4/year),Emissions Uncertainty: Modeled (tons CH4/year),Emissions Source: Modeled,Emissions: Satellite (tons CH4/year),Emissions Uncertainty: Satellite (tons CH4/year),Emissions Source: Satellite,Site Area (m2),Waste in Place Year,Site Open Year,Site Close Year,Site Status,Climate TRACE ID,GHGRP ID,Most Recent Plume Filename
Sudokwon,Sanitary Landfill,37.5772357911111,126.613998413085,"Korea, Rep.",KOR,114486480.5,6582168.267,228071.9088,,Climate TRACE,,,,114486480.5,2021,,,,1835960681,,
Odayeri,Sanitary Landfill,41.2161766,28.8581657,Turkey,TUR,75341705.11,4289130.196,131856.5202,,Climate TRACE,,,,75341705.11,2021,,,,1835960682,,
Laogang Landfill,Sanitary Landfill,31.056294,121.874575,China,CHN,64131014.97,3783697.392,131104.9872,,Climate TRACE,,,,64131014.97,2021,,,,1835960683,,
King George Landfill Inc.,Sanitary Landfill,38.26964,-77.30596,United States,USA,31084458.64,1446208.5,9868.23,,Climate TRACE,,,,31084458.64,2021,,,,1835960821,,
Jiangcungou Landfill,Sanitary Landfill,34.245692,109.100563,China,CHN,56631070.08,3650000.0,104839.5941,,Climate TRACE,,,,56631070.08,2021,,,,1835960684,,
Tessman Road Landfill,Sanitary Landfill,29.435834,-98.339168,United States,USA,32911740.67,1306212.682,9855.91,,Climate TRACE,,,,32911740.67,2021,,,,1835960822,,
Tehran Landfill,Sanitary Landfill,35.4716451185922,51.3355064392089,"Iran, Islamic Rep.",IRN,64551735.54,3616457.661,103696.8018,,Climate TRACE,,,,64551735.54,2021,,,,1835960685,,
Greengairs,Sanitary Landfill,55.90277106,-3.93263339,United Kingdom,GBR,22991285.56,320482.9536,9852.29292,,Climate TRACE,,,,22991285.56,2021,,,,1835960823,,
Xingfeng,Sanitary Landfill,23.2646917,113.4854548,China,CHN,25988323.62,2866130.112,99311.31188,,Climate TRACE,,,,25988323.62,2021,,,,1835960686,,
Moretown Landfill Inc.,Sanitary Landfill,44.311,-72.7025,United States,USA,2164668.0,7438.0,9851.0653,,Climate TRACE,,,,2164668.0,2021,,,,1835960824,,
West New Territories Landfill,Sanitary Landfill,22.4214327,113.9344561,Hong Kong,HKG,67000775.17,2697534.223,93469.47001,,Climate TRACE,,,,67000775.17,2021,,,,1835960687,,
Cedar Hills Regional Lf,Sanitary Landfill,47.442,-122.06,United States,USA,39740256.29,795481.0,9794.48,,Climate TRACE,,,,39740256.29,2021,,,,1835960825,,
Loma Los Colorados,Sanitary Landfill,-32.9546645267949,-70.7979583740234,Chile,CHL,35161989.27,2493980.189,82250.62486,,Climate TRACE,,,,35161989.27,2021,,,,1835960688,,
Monarch Hill Landfill,Sanitary Landfill,26.283,-80.161,United States,USA,68527892.65,1449705.7,9777.45,,Climate TRACE,,,,68527892.65,2021,,,,1835960826,,
South East New Territories Landfill,Sanitary Landfill,22.2820827,114.2801312,Hong Kong,HKG,48498581.38,2023150.667,70102.10251,,Climate TRACE,,,,48498581.38,2021,,,,1835960689,,
Roosevelt Regional Msw Landfill,Sanitary Landfill,45.805,-120.174,United States,USA,57101618.89,2170594.641,9773.0,,Climate TRACE,,,,57101618.89,2021,,,,1835960827,,
Komurcuoda,Sanitary Landfill,41.1450849,29.3707466,Turkey,TUR,36155320.5,1949604.635,59934.78193,,Climate TRACE,,,,36155320.5,2021,,,,1835960690,,
Environmental Complex Norte Iii,Sanitary Landfill,-34.5438228657023,-58.6069107055664,Argentina,ARG,10500000.0,671775.1916,9740.921999,,Climate TRACE,,,,10500000.0,2021,,,,1835960828,,
Fyli Landfill,Sanitary Landfill,38.0743455110176,23.6507749557495,Greece,GRC,22617284.85,1816070.071,55829.65988,,Climate TRACE,,,,22617284.85,2021,,,,1835960691,,
Fort Bend Regional Landfill,Sanitary Landfill,29.3965,-95.7259,United States,USA,12877139.23,1106807.569,9668.21,,Climate TRACE,,,,12877139.23,2021,,,,1835960829,,
Casablanca Disposal Site,Sanitary Landfill,33.4820687042596,-7.5367069244385,Morocco,MAR,16731606.82,1885724.352,54070.47524,,Climate TRACE,,,,16731606.82,2021,,,,1835960692,,
River Birch Landfill,Sanitary Landfill,29.932,-90.258,United States,USA,23627405.18,26044988.0,9655.3,,Climate TRACE,21679.834803930004,9295.988827246001,Carbon Mapper,23627405.18,2021,1999.0,2045.0,Open,1835960830,1005717.0,GAO20211026t175710p0000-B_l3a-ch4-mf-v1_plume.tif
Rainham,Sanitary Landfill,51.4932745673649,0.197024345397949,United Kingdom,GBR,27768434.01,1602414.768,49261.4646,,Climate TRACE,,,,27768434.01,2021,,,,1835960693,,
Bridgeway Acres Lf,Sanitary Landfill,27.867647,-82.6757,United States,USA,7463978.856,221940.9595,9496.77,,Climate TRACE,,,,7463978.856,2021,,,,1835960831,,
Ghabawi,Sanitary Landfill,31.93380812656,36.18673324585,Jordan,JOR,19021116.55,1476105.168,42325.22524,,Climate TRACE,,,,19021116.55,2021,,,,1835960694,,
Mehmood Booti,Dumpsites,31.609972,74.386883,Pakistan,PAK,11071074.46,596326.4448,9478.938703,,Climate TRACE,,,,11071074.46,2021,,,,1835960832,,
Asmoc,Sanitary Landfill,-3.79650349,-38.66917133,Brazil,BRA,33317719.35,1232012.548,40631.35799,,Climate TRACE,,,,33317719.35,2021,,,,1835960695,,
"Paşaköy İç Yolu, Ayvacık, Canakkale, Marmara Region, Turkey",Dumpsites,39.50193421970483,26.311394179572044,Turkey,TUR,7301678.513,409643.3265,9444.947071,,Climate TRACE,,,,7301678.513,2021,,,,1835960833,,
North East Territories Landfill,Sanitary Landfill,22.5440414,114.1679263,Hong Kong,HKG,26294952.03,1138022.25,39432.43266,,Climate TRACE,,,,26294952.03,2021,,,,1835960696,,
Mccarty Road Lf,Sanitary Landfill,29.827501,-95.243334,United States,USA,91714164.18,101097794.0,9426.6,,Climate TRACE,6253.485345860001,1141.9703914600002,Carbon Mapper,91714164.18,2021,1972.0,2037.0,Open,1835960834,1006899.0,ang20220610t194646-C_l3a-ch4-mf-v1_plume.tif
Bisasar,Sanitary Landfill,-29.8167703149,30.978784561157,South Africa,ZAF,26824760.33,1616199.217,39101.29616,,Climate TRACE,,,,26824760.33,2021,,,,1835960697,,
15Th May,Sanitary Landfill,29.7970400557607,31.3548772037029,"Egypt, Arab Rep.",EGY,2881372.604,324743.1369,9311.549553,,Climate TRACE,,,,2881372.604,2021,,,,1835960835,,
"Cumhuriyet Mahallesi, Çiğli, Izmir, Aegean Region, 35650, Turkey",Dumpsites,38.535090520025776,27.064942678898063,Turkey,TUR,29114918.66,1633423.344,37661.04811,,Climate TRACE,,,,29114918.66,2021,,,,1835960698,,
Douala Landfill,Sanitary Landfill,4.04120174802514,9.78195190429687,Cameroon,CMR,5767800.079,384809.3373,9309.832419,,Climate TRACE,,,,5767800.079,2021,,,,1835960836,,
Highmoor,Sanitary Landfill,53.5575437399071,-2.04315662384033,United Kingdom,GBR,19993272.48,1153738.633,35468.25451,,Climate TRACE,,,,19993272.48,2021,,,,1835960699,,
Pine Tree Landfill,Sanitary Landfill,44.7747,-68.8663,United States,USA,5249974.0,374842.0,9302.056974,,Climate TRACE,,,,5249974.0,2021,,,,1835960837,,
"Sampson County Disposal, Llc",Sanitary Landfill,34.982,-78.457,United States,USA,23571759.83,25983708.0,32982.71,,Climate TRACE,20525.644449720003,8384.0378382,Carbon Mapper,23571759.83,2021,2000.0,2041.0,Open,1835960700,1004118.0,ang20220923t154354-A_l3a-ch4-mf-v1_plume.tif
"Villa Hermosa, La Romana, Dominican Republic, Site 1",Dumpsites,18.465839416048833,-69.10379275063562,Dominican Republic,DOM,8785246.693,562067.6934,9268.401411,,Climate TRACE,,,,8785246.693,2021,,,,1835960838,,
Olushosun,Dumpsites,6.59272532,3.378510475,Nigeria,NGA,40199600.55,2693665.361,32584.41347,,Climate TRACE,,,,40199600.55,2021,,,,1835960701,,
